time_s,event
00:00:00.000,exit
00:00:18.726,enter
00:00:46.664,exit
00:01:13.544,enter
00:01:39.263,exit
00:02:18.357,enter
00:02:44.758,exit
00:03:14.776,enter
00:03:43.499,exit
00:04:19.894,enter
00:04:47.833,exit
00:05:16.215,enter
00:05:44.672,exit
00:06:18.794,enter
00:06:49.477,exit
00:07:21.712,enter
00:07:52.925,exit
00:08:21.033,enter
00:08:52.280,exit
00:09:16.634,enter
00:09:47.541,exit
00:10:18.923,enter
00:10:48.145,exit
00:11:17.459,enter
00:11:46.965,exit
00:12:12.857,enter
00:12:40.759,exit
00:13:07.261,enter
00:13:36.772,exit
00:14:10.804,enter
00:14:40.594,exit
00:15:11.942,enter
00:15:42.474,exit
